"filename", "language", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\pc hp\Desktop\coding\Authentification\client\README.md", "Markdown", 26, 0, 0, 0, 0, 0, 21, 47
"c:\Users\pc hp\Desktop\coding\Authentification\client\package-lock.json", "JSON", 0, 0, 0, 0, 30458, 0, 1, 30459
"c:\Users\pc hp\Desktop\coding\Authentification\client\package.json", "JSON", 0, 0, 0, 0, 44, 0, 1, 45
"c:\Users\pc hp\Desktop\coding\Authentification\client\public\index.html", "HTML", 0, 0, 0, 18, 0, 4, 1, 23
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\App.js", "JavaScript", 0, 42, 0, 0, 0, 4, 4, 50
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\Layout\container.js", "JavaScript", 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\Layout\main.js", "JavaScript", 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\Layout\mainLayout.js", "JavaScript", 0, 62, 0, 0, 0, 0, 4, 66
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\Layout\sideBar.js", "JavaScript", 0, 86, 0, 0, 0, 0, 6, 92
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\admin\authorisation.js", "JavaScript", 0, 41, 0, 0, 0, 1, 5, 47
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\admin\tracabilite.js", "JavaScript", 0, 59, 0, 0, 0, 0, 5, 64
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\admin\user.js", "JavaScript", 0, 74, 0, 0, 0, 2, 10, 86
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\admin\userOperations.js", "JavaScript", 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\api\auth.js", "JavaScript", 0, 31, 0, 0, 0, 3, 5, 39
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\api\planning.js", "JavaScript", 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\Table.js", "JavaScript", 0, 30, 0, 0, 0, 6, 3, 39
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\date.js", "JavaScript", 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\modal.js", "JavaScript", 0, 73, 0, 0, 0, 0, 7, 80
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\pageDaccueil.js", "JavaScript", 0, 17, 0, 0, 0, 0, 3, 20
